Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
97,Chris Chiozza\chiozch01,PG,25,BRK,22,232,12.9,.461,.477,.193,1.5,9.6,5.7,36.9,1.5,2.3,14.4,20.9,,0.1,0.2,0.3,.063,,-0.7,-0.9,-1.6,0.0
98,Marquese Chriss\chrisma01,PF,23,GSW,2,27,11.9,.412,.357,.286,11.9,39.1,25.6,11.1,0.0,6.6,11.3,28.1,,-0.1,0.1,0.0,-0.033,,-2.2,-1.0,-3.2,0.0
99,Gary Clark\clarkga01,SF,26,TOT,37,641,6.1,.439,.824,.076,5.2,13.5,9.2,6.4,0.9,1.0,11.2,10.3,,-0.2,0.4,0.1,.011,,-3.9,-0.9,-4.8,-0.5
99,Gary Clark\clarkga01,SF,26,ORL,35,637,6.1,.439,.824,.076,5.2,13.4,9.2,6.4,0.9,1.0,11.2,10.4,,-0.2,0.4,0.1,.011,,-3.8,-0.9,-4.8,-0.4
99,Gary Clark\clarkga01,SF,26,DEN,2,4,2.9,,,,0.0,28.2,14.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.037,,-8.5,0.3,-8.3,0.0
100,Brandon Clarke\clarkbr01,PF,24,MEM,52,1282,16.9,.560,.152,.219,6.3,17.4,11.8,9.8,2.0,3.1,5.9,17.2,,1.9,1.8,3.7,.137,,0.2,1.0,1.2,1.0
101,Jordan Clarkson\clarkjo01,SG,28,UTA,60,1570,16.2,.541,.567,.126,3.0,12.5,8.0,14.4,1.6,0.5,9.4,29.2,,1.0,2.1,3.1,.096,,1.5,-1.1,0.4,1.0
102,Nicolas Claxton\claxtni01,C,21,BRK,25,462,16.7,.585,.042,.383,8.8,20.5,14.9,7.9,2.0,5.7,9.1,14.5,,0.7,0.7,1.4,.146,,-0.6,1.1,0.5,0.3
103,Amir Coffey\coffeam01,SG,23,LAC,44,394,10.1,.585,.544,.369,2.9,9.5,6.3,7.4,1.3,0.0,11.1,15.1,,0.4,0.3,0.7,.082,,-2.1,-0.5,-2.6,-0.1
104,John Collins\collijo01,PF,23,ATL,56,1673,20.4,.634,.262,.251,7.4,20.3,13.9,7.5,0.9,3.0,8.6,22.2,,4.2,1.6,5.9,.168,,2.4,-0.4,2.0,1.7
105,Mike Conley\conlemi01,PG,33,UTA,49,1459,19.1,.590,.528,.218,2.7,9.3,6.1,30.3,2.2,0.5,12.6,23.1,,3.8,2.0,5.9,.192,,3.5,0.8,4.2,2.3
106,Pat Connaughton\connapa01,SG,28,MIL,61,1399,11.6,.588,.695,.103,4.5,16.7,10.8,6.4,1.5,1.3,7.5,11.6,,1.8,1.6,3.4,.116,,-0.2,0.2,0.0,0.7
107,Quinn Cook\cookqu01,PG,27,TOT,23,157,12.8,.531,.382,.118,1.4,10.9,6.1,18.2,1.3,0.6,8.9,21.8,,0.1,0.1,0.2,.064,,-1.2,-0.4,-1.5,0.0
107,Quinn Cook\cookqu01,PG,27,LAL,16,62,13.9,.585,.500,.192,0.0,8.9,4.5,12.5,0.8,1.4,9.6,21.9,,0.1,0.1,0.1,.099,,-0.3,-0.8,-1.1,0.0
107,Quinn Cook\cookqu01,PG,27,CLE,7,95,12.0,.496,.310,.071,2.3,12.2,7.1,21.9,1.6,0.0,8.5,21.8,,0.0,0.1,0.1,.041,,-1.7,-0.1,-1.8,0.0
108,Tyler Cook\cookty01,SF-PF,23,TOT,24,282,10.8,.605,.015,.318,8.6,15.9,12.2,6.9,0.9,0.0,17.5,14.1,,0.2,0.2,0.4,.062,,-3.6,-0.8,-4.4,-0.2
108,Tyler Cook\cookty01,PF,23,BRK,4,17,1.6,.333,.000,.000,6.8,6.3,6.5,14.1,0.0,0.0,25.0,10.2,,0.0,0.0,0.0,-0.047,,-5.3,-1.5,-6.8,0.0
108,Tyler Cook\cookty01,SF,23,DET,20,265,11.4,.616,.016,.333,8.7,16.6,12.6,6.4,0.9,0.0,17.2,14.3,,0.2,0.2,0.4,.069,,-3.5,-0.7,-4.3,-0.2
109,DeMarcus Cousins\couside01,C,30,TOT,35,637,15.7,.524,.474,.285,8.1,33.5,20.3,17.4,1.9,3.1,15.8,24.7,,-0.1,1.0,0.9,.068,,-1.4,1.6,0.1,0.3
109,DeMarcus Cousins\couside01,C,30,HOU,25,506,15.0,.511,.552,.281,6.0,35.3,20.1,18.1,2.0,3.2,14.2,23.1,,-0.1,0.8,0.7,.068,,-1.5,1.9,0.4,0.3
109,DeMarcus Cousins\couside01,C,30,LAC,10,131,18.5,.567,.219,.297,15.8,26.8,21.4,14.6,1.5,2.7,20.8,30.9,,0.0,0.2,0.2,.068,,-1.0,0.2,-0.8,0.0
110,Robert Covington\covinro01,PF,30,POR,62,1991,11.4,.559,.687,.125,2.8,20.2,11.2,6.9,2.2,3.4,11.4,11.7,,1.2,2.0,3.2,.078,,-1.4,1.2,-0.3,0.9
111,Torrey Craig\craigto01,SF,30,TOT,42,636,14.7,.589,.457,.104,8.0,19.4,13.8,7.9,1.8,3.3,10.0,13.8,,0.9,1.0,1.9,.144,,0.1,1.3,1.4,0.5
111,Torrey Craig\craigto01,SF,30,MIL,18,201,10.4,.480,.478,.043,7.1,15.1,11.2,9.5,2.1,3.1,9.6,10.8,,0.1,0.3,0.4,.101,,-1.9,1.0,-0.9,0.1
111,Torrey Craig\craigto01,SF,30,PHO,24,435,16.7,.627,.449,.126,8.4,21.4,15.0,7.2,1.7,3.3,10.1,15.2,,0.8,0.7,1.5,.164,,1.1,1.4,2.5,0.5
112,Jae Crowder\crowdja01,PF,30,PHO,55,1508,11.6,.567,.765,.150,2.3,17.3,9.9,10.2,1.4,1.4,9.9,15.6,,1.2,1.9,3.0,.097,,-0.1,0.7,0.6,1.0
113,Jarrett Culver\culveja01,SG,21,MIN,34,499,8.8,.476,.315,.286,7.1,15.8,11.3,6.9,1.6,1.6,12.9,18.3,,-0.4,0.3,-0.1,-0.008,,-4.8,-1.8,-6.6,-0.6
114,Seth Curry\curryse01,SG,30,PHI,51,1466,12.3,.591,.496,.143,0.8,7.6,4.2,13.4,1.3,0.5,10.2,17.2,,1.8,1.5,3.3,.108,,-0.4,-1.0,-1.4,0.2
115,Stephen Curry\curryst01,PG,32,GSW,56,1905,26.1,.658,.580,.293,1.4,15.8,8.6,30.6,1.6,0.3,12.4,34.0,,5.8,2.1,7.9,.199,,8.0,0.0,8.1,4.9
116,Nate Darling\darlina01,SG,22,CHO,6,24,8.9,.541,1.000,.429,4.5,0.0,2.3,5.6,0.0,4.2,10.7,16.8,,0.0,0.0,0.0,.042,,-0.9,-2.6,-3.6,0.0
117,Anthony Davis\davisan02,PF,27,LAL,29,930,22.5,.561,.168,.320,6.5,21.4,14.0,16.5,2.0,5.0,9.5,28.4,,1.1,2.0,3.1,.161,,3.2,1.7,4.9,1.6
118,Ed Davis\davised01,C,31,MIN,22,293,13.5,.487,.000,.273,16.4,25.7,20.9,9.3,2.1,3.9,12.4,8.1,,0.5,0.4,0.8,.135,,-3.4,0.7,-2.7,-0.1
119,Terence Davis\daviste02,SG,23,TOT,53,842,11.2,.547,.596,.096,1.8,13.5,7.5,10.9,1.7,1.2,12.2,20.9,,-0.2,0.5,0.4,.021,,-1.6,-1.3,-2.9,-0.2
119,Terence Davis\daviste02,SG,23,TOR,34,493,11.1,.537,.581,.086,1.9,13.1,7.4,11.5,1.7,1.4,11.7,21.7,,-0.1,0.4,0.3,.028,,-1.8,-1.3,-3.1,-0.1
119,Terence Davis\daviste02,SG,23,SAC,19,349,11.4,.562,.619,.112,1.6,14.0,7.7,9.9,1.8,1.0,13.0,19.9,,0.0,0.1,0.1,.012,,-1.4,-1.2,-2.6,-0.1
120,Gabriel Deck\deckga01,PF,25,OKC,3,57,14.8,.417,.261,.217,16.3,16.6,16.4,18.9,1.7,0.0,7.4,20.3,,0.0,0.0,0.1,.048,,-2.1,-0.2,-2.3,0.0
121,Dewayne Dedmon\dedmode01,C,31,MIA,10,133,29.1,.773,.068,.500,18.3,31.8,25.2,5.4,2.2,4.0,14.4,21.2,,0.6,0.3,0.8,.306,,3.0,0.9,3.9,0.2
122,Matthew Dellavedova\dellama01,PG,30,CLE,13,224,7.3,.312,.446,.071,2.9,9.3,6.0,34.9,0.9,0.4,9.4,12.4,,0.0,0.1,0.0,.008,,-4.6,-2.0,-6.6,-0.3
123,DeMar DeRozan\derozde01,PF,31,SAS,53,1817,22.2,.589,.091,.486,2.2,11.5,6.8,33.5,1.3,0.6,9.6,25.9,,5.5,1.4,6.9,.183,,3.7,-0.2,3.4,2.5
124,Mamadi Diakite\diakima01,PF,24,MIL,12,102,12.2,.490,.241,.207,6.4,20.9,13.9,7.3,1.8,4.4,8.7,14.3,,0.1,0.2,0.2,.103,,-3.2,0.7,-2.6,0.0
125,Hamidou Diallo\diallha01,SG-SF,22,TOT,48,1095,13.7,.531,.155,.430,5.3,18.2,11.7,13.9,1.7,1.7,12.5,21.9,,0.1,1.2,1.3,.057,,-2.6,-0.1,-2.7,-0.2
125,Hamidou Diallo\diallha01,SG,22,OKC,32,761,15.0,.536,.138,.444,5.0,17.6,11.3,16.4,1.9,1.4,12.1,22.5,,0.3,0.8,1.1,.068,,-2.1,0.4,-1.7,0.1
125,Hamidou Diallo\diallha01,SF,22,DET,16,334,11.0,.516,.200,.391,5.9,19.5,12.7,8.3,1.3,2.3,13.5,20.3,,-0.1,0.4,0.2,.033,,-3.9,-1.2,-5.1,-0.3
126,Gorgui Dieng\dienggo01,C,31,TOT,31,468,18.8,.695,.465,.457,7.4,20.0,13.6,10.4,2.1,2.9,15.0,16.3,,1.2,0.7,1.9,.191,,1.5,1.4,2.9,0.6
126,Gorgui Dieng\dienggo01,C,31,MEM,22,371,19.3,.682,.444,.398,7.9,20.3,14.0,10.6,2.2,3.4,14.8,17.0,,0.9,0.6,1.5,.191,,1.7,1.0,2.6,0.4
126,Gorgui Dieng\dienggo01,C,31,SAS,9,97,16.8,.762,.579,.789,5.4,18.9,12.0,9.7,2.0,0.9,16.3,13.8,,0.3,0.1,0.4,.192,,0.7,3.0,3.7,0.1
127,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,64,10.1,.536,.438,.375,0.0,21.6,11.3,17.6,1.5,1.4,21.2,16.0,,0.0,0.1,0.1,.045,,-3.4,2.0,-1.4,0.0
128,Donte DiVincenzo\divindo01,SG,24,MIL,59,1617,12.4,.528,.557,.107,4.8,16.2,10.7,14.0,1.9,0.7,12.8,16.7,,1.0,1.9,2.9,.087,,-0.6,0.2,-0.5,0.6
129,Luka Dončić\doncilu01,PG,21,DAL,58,2040,25.9,.593,.399,.351,2.6,22.2,12.5,45.1,1.4,1.5,15.1,35.9,,5.0,2.4,7.4,.174,,6.5,0.8,7.3,4.8
130,Luguentz Dort\dortlu01,SG,21,OKC,49,1469,10.5,.523,.516,.261,2.3,10.4,6.3,8.4,1.4,1.1,10.2,21.4,,-0.4,1.0,0.6,.019,,-2.5,-0.9,-3.4,-0.5
131,Damyean Dotson\dotsoda01,SG,26,CLE,39,740,8.4,.489,.531,.139,0.7,11.4,5.9,16.3,0.9,0.5,11.0,17.2,,-0.2,0.3,0.1,.006,,-3.1,-1.4,-4.5,-0.5
132,Devon Dotson\dotsode01,PG,21,CHI,7,23,16.6,.500,.125,.000,9.8,4.8,7.3,12.4,4.2,0.0,0.0,15.1,,0.0,0.0,0.1,.139,,-0.4,2.3,1.9,0.0
133,Sekou Doumbouya\doumbse01,PF,20,DET,50,701,5.6,.443,.437,.221,4.4,13.3,8.8,7.7,1.4,0.6,12.9,17.4,,-0.9,0.6,-0.4,-0.026,,-5.9,-1.9,-7.9,-1.0
134,PJ Dozier\doziepj01,SG,24,DEN,49,1067,10.7,.505,.421,.189,3.8,15.3,9.6,11.3,1.4,2.0,10.8,17.4,,0.2,1.0,1.2,.054,,-2.1,-0.7,-2.9,-0.2
135,Goran Dragić\dragigo01,PG,34,MIA,44,1173,12.9,.548,.432,.230,2.1,12.4,7.3,26.9,1.3,0.7,16.7,24.1,,0.1,1.1,1.2,.048,,-1.4,-1.6,-3.0,-0.3
136,Andre Drummond\drumman01,C,27,TOT,38,1049,20.1,.517,.016,.347,14.7,36.0,25.2,14.0,2.7,3.5,15.7,28.8,,-0.6,2.2,1.6,.074,,-1.1,0.6,-0.5,0.4
136,Andre Drummond\drumman01,C,27,CLE,25,722,20.6,.500,.021,.339,15.4,37.7,26.3,16.0,2.7,3.6,15.6,31.3,,-0.8,1.4,0.6,.042,,-0.5,0.2,-0.3,0.3
136,Andre Drummond\drumman01,C,27,LAL,13,327,19.2,.565,.000,.370,13.2,32.1,22.8,9.7,2.7,3.3,15.9,23.4,,0.2,0.8,1.0,.146,,-2.2,1.4,-0.9,0.1
137,Jared Dudley\dudleja01,PF,35,LAL,11,76,5.4,.429,.714,.000,6.0,21.8,14.0,8.1,0.6,1.2,22.2,5.1,,0.0,0.1,0.1,.078,,-3.8,0.2,-3.6,0.0
138,Kris Dunn\dunnkr01,PG,26,ATL,3,42,-5.3,.196,.182,.364,0.0,10.3,5.2,5.9,2.3,4.2,19.0,16.3,,-0.2,0.0,-0.2,-0.201,,-13.2,0.1,-13.1,-0.1
139,Kevin Durant\duranke01,PF,32,BRK,28,921,27.2,.678,.317,.389,1.4,20.7,11.5,26.4,1.0,3.2,14.7,32.1,,3.1,0.9,4.0,.209,,6.7,0.5,7.2,2.1
140,Anthony Edwards\edwaran01,SG,19,MIN,65,2060,12.8,.506,.426,.216,2.7,13.5,7.9,13.9,1.7,1.2,10.7,27.2,,-1.4,1.2,-0.2,-0.006,,-1.5,-1.9,-3.4,-0.7
141,Carsen Edwards\edwarca01,SG,22,BOS,25,212,11.6,.545,.535,.105,1.6,10.1,5.8,7.7,1.2,0.4,4.3,19.1,,0.2,0.1,0.3,.075,,-2.7,-1.7,-4.4,-0.1
142,CJ Elleby\ellebcj01,SF,20,POR,24,168,8.6,.470,.554,.232,6.2,10.5,8.3,4.9,1.7,1.6,7.5,17.1,,0.0,0.1,0.1,.020,,-4.4,-1.6,-6.0,-0.2
143,Henry Ellenson\ellenhe01,PF,24,TOR,2,38,12.8,.476,.643,.286,8.4,26.9,17.4,18.9,0.0,0.0,0.0,17.9,,0.1,0.0,0.1,.130,,-3.1,1.0,-2.1,0.0
144,Wayne Ellington\ellinwa01,SG,33,DET,44,962,12.5,.629,.812,.110,1.4,8.2,4.7,10.1,0.9,0.8,8.0,16.5,,1.4,0.5,1.9,.095,,1.4,-1.6,-0.3,0.4
145,Joel Embiid\embiijo01,C,26,PHI,45,1424,30.8,.635,.172,.612,8.0,29.1,18.7,16.7,1.6,3.9,11.9,35.5,,5.2,2.8,8.1,.273,,6.6,1.1,7.7,3.5
146,James Ennis\ennisja01,SF,30,ORL,41,986,12.6,.613,.428,.358,4.4,13.5,8.8,9.2,1.6,0.7,11.3,13.9,,1.3,0.7,2.1,.101,,-1.9,-0.2,-2.1,0.0
147,Drew Eubanks\eubandr01,C,23,SAS,45,626,17.6,.619,.006,.524,9.2,23.4,16.2,8.2,1.3,5.8,16.0,17.0,,0.8,1.0,1.9,.143,,-1.4,1.6,0.2,0.4
148,Dante Exum\exumda01,SG,25,CLE,6,116,6.0,.428,.423,.077,1.9,14.9,8.2,15.6,1.7,1.6,20.7,12.8,,-0.1,0.1,-0.1,-0.021,,-4.8,1.7,-3.1,0.0
149,Tacko Fall\fallta01,C,25,BOS,15,100,20.4,.673,.000,.542,12.2,30.3,21.2,3.0,0.5,11.3,11.9,14.5,,0.2,0.2,0.4,.182,,-0.8,1.8,1.0,0.1
150,Derrick Favors\favorde01,C,29,UTA,60,921,19.9,.661,.009,.339,15.1,22.7,19.1,6.5,1.6,5.3,11.9,13.3,,2.6,1.9,4.6,.238,,0.1,1.9,2.0,0.9
151,Cristiano Felício\feliccr01,C,28,CHI,14,59,12.2,.614,.143,1.429,11.5,15.0,13.2,16.8,1.6,0.0,26.0,11.3,,0.1,0.1,0.1,.118,,-1.8,0.8,-1.0,0.0
152,Terrance Ferguson\fergute01,SG,22,PHI,13,49,-7.1,.143,.714,.000,0.0,2.2,1.1,4.9,1.0,0.0,36.4,9.6,,-0.2,0.0,-0.2,-0.159,,-12.1,-2.7,-14.8,-0.2
153,Bruno Fernando\fernabr01,C,22,ATL,30,198,5.0,.467,.061,.606,8.4,29.0,18.8,5.9,0.5,1.3,32.4,13.6,,-0.4,0.2,-0.2,-0.037,,-6.2,-1.2,-7.4,-0.3
154,Yogi Ferrell\ferreyo01,PG,27,TOT,5,69,17.5,.497,.484,.161,4.8,8.3,6.5,31.7,2.9,1.3,8.3,23.0,,0.1,0.1,0.2,.124,,2.2,0.7,2.8,0.1
154,Yogi Ferrell\ferreyo01,PG,27,CLE,2,40,12.4,.434,.429,.095,8.2,11.5,9.9,20.7,3.7,2.3,12.1,27.2,,-0.1,0.1,0.0,-0.031,,-1.9,0.4,-1.5,0.0
154,Yogi Ferrell\ferreyo01,PG,27,LAC,3,29,24.4,.618,.600,.300,0.0,3.8,1.9,46.9,1.7,0.0,0.0,17.3,,0.2,0.0,0.2,.337,,7.7,1.1,8.8,0.1
155,Dorian Finney-Smith\finnedo01,PF,27,DAL,52,1689,12.0,.604,.655,.086,5.9,12.9,9.5,6.8,1.4,1.2,8.3,12.0,,2.5,1.5,4.0,.112,,0.2,0.0,0.2,0.9
156,Malik Fitts\fittsma01,PF,23,LAC,3,11,2.9,.500,.667,.000,0.0,29.9,15.3,0.0,0.0,0.0,0.0,12.1,,0.0,0.0,0.0,.046,,-9.6,-0.6,-10.2,0.0
157,Malachi Flynn\flynnma01,PG,22,TOR,40,719,10.2,.478,.490,.162,1.2,12.6,6.7,21.6,2.0,0.7,12.0,18.1,,-0.1,0.6,0.6,.037,,-3.3,0.1,-3.2,-0.2
158,Bryn Forbes\forbebr01,SG,27,MIL,63,1218,12.6,.621,.641,.115,1.0,7.5,4.4,4.2,0.9,0.0,6.8,18.6,,1.7,0.7,2.4,.095,,0.3,-1.9,-1.6,0.1
159,Trent Forrest\forretr01,PG,22,UTA,22,160,8.8,.520,.313,.188,0.0,8.2,4.3,26.1,1.2,1.5,25.7,12.6,,0.1,0.2,0.2,.073,,-4.0,0.4,-3.6,-0.1
160,Evan Fournier\fournev01,SF-SG,28,TOT,36,1065,15.8,.587,.526,.289,0.7,10.1,5.2,17.8,1.9,1.2,11.6,23.5,,1.1,0.8,2.0,.089,,0.6,-0.5,0.1,0.6
160,Evan Fournier\fournev01,SF,28,ORL,26,787,18.3,.604,.509,.333,0.6,9.6,5.0,20.8,1.7,1.1,11.3,26.2,,1.2,0.5,1.8,.109,,2.1,-0.8,1.3,0.6
160,Evan Fournier\fournev01,SG,28,BOS,10,278,8.6,.508,.600,.094,0.8,11.3,6.0,9.2,2.5,1.7,12.8,15.7,,-0.1,0.3,0.2,.035,,-3.8,0.5,-3.3,-0.1
161,De'Aaron Fox\foxde01,PG,23,SAC,58,2036,20.8,.565,.288,.376,1.8,9.5,5.6,32.6,2.1,1.1,11.9,31.0,,3.6,0.4,4.0,.095,,2.9,-1.5,1.4,1.7
162,Robert Franks\frankro01,PF,24,ORL,7,101,16.5,.638,.536,.464,6.0,8.6,7.2,7.4,1.4,2.7,5.6,15.3,,0.3,0.1,0.3,.162,,0.4,-0.7,-0.3,0.0
163,Tim Frazier\fraziti01,PG,30,MEM,3,33,0.3,.250,.250,.000,0.0,13.1,6.4,25.7,1.4,0.0,27.3,14.1,,-0.1,0.0,-0.1,-0.114,,-10.9,-2.6,-13.6,-0.1
164,Markelle Fultz\fultzma01,PG,22,ORL,8,215,12.1,.458,.154,.183,2.3,10.1,6.1,33.0,1.8,0.9,13.8,26.2,,-0.2,0.2,-0.1,-0.020,,-2.9,-1.7,-4.6,-0.1
165,Wenyen Gabriel\gabriwe01,PF,23,NOP,14,103,6.1,.478,.455,.318,8.6,14.8,11.7,9.7,1.9,2.8,30.5,14.8,,-0.2,0.1,-0.1,-0.028,,-5.2,-0.2,-5.4,-0.1
166,Daniel Gafford\gaffoda01,PF-C,22,TOT,46,661,21.7,.691,.000,.473,13.0,19.1,16.1,5.0,1.6,8.1,13.6,16.5,,1.6,1.1,2.7,.199,,0.7,1.6,2.3,0.7
166,Daniel Gafford\gaffoda01,PF,22,CHI,31,383,18.8,.700,.000,.471,13.0,17.0,15.0,6.2,1.4,7.7,17.3,14.4,,0.8,0.6,1.4,.179,,-0.9,1.4,0.5,0.2
166,Daniel Gafford\gaffoda01,C,22,WAS,15,278,25.7,.682,.000,.474,13.0,22.1,17.6,3.3,1.8,8.8,10.0,19.5,,0.8,0.5,1.3,.226,,2.9,1.9,4.9,0.5
167,Danilo Gallinari\gallida01,PF,32,ATL,45,1070,15.8,.610,.547,.386,1.6,16.6,9.2,8.8,1.1,0.6,7.8,21.5,,2.3,0.8,3.1,.137,,1.4,-1.0,0.4,0.6
168,Langston Galloway\gallola01,SG,29,PHO,36,386,12.5,.632,.577,.138,1.5,9.5,5.6,8.4,1.0,0.0,9.1,16.5,,0.6,0.3,0.9,.110,,0.2,-0.6,-0.3,0.2
169,Darius Garland\garlada01,PG,21,CLE,53,1778,14.3,.547,.330,.165,1.4,6.9,4.1,30.6,1.8,0.3,16.0,25.1,,0.4,1.0,1.4,.037,,0.2,-1.8,-1.6,0.1
170,Marc Gasol\gasolma01,C,36,LAL,46,886,12.1,.598,.615,.253,4.6,19.0,11.9,14.2,1.3,5.4,20.5,12.5,,0.6,1.7,2.3,.125,,-1.4,3.1,1.7,0.8
171,Rudy Gay\gayru01,PF,34,SAS,55,1203,14.3,.531,.428,.166,3.4,20.4,11.8,10.0,1.5,2.2,9.1,23.5,,0.0,1.5,1.5,.060,,-0.3,-0.3,-0.7,0.4
172,Paul George\georgpa01,SF,30,LAC,49,1646,21.3,.601,.428,.242,2.9,18.6,10.9,25.0,1.8,1.2,14.3,30.2,,3.0,2.0,5.1,.148,,4.4,-0.3,4.1,2.6
173,Taj Gibson\gibsota01,PF,35,NYK,37,760,15.5,.658,.111,.357,11.7,17.2,14.5,4.8,1.8,4.3,12.1,9.7,,1.6,1.4,2.9,.185,,-1.1,1.9,0.9,0.5
174,Harry Giles\gilesha01,C,22,POR,33,324,11.4,.502,.217,.265,9.6,31.8,20.3,10.4,0.9,2.8,17.0,14.8,,0.1,0.3,0.4,.063,,-3.6,-0.6,-4.2,-0.2
175,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,35,1180,21.6,.623,.301,.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,,2.8,0.8,3.6,.146,,3.8,0.0,3.8,1.7
176,Anthony Gill\gillan01,PF,28,WAS,22,162,14.9,.626,.476,.190,9.2,18.3,13.8,8.3,2.3,1.6,11.6,13.2,,0.3,0.2,0.5,.142,,-0.8,0.7,-0.1,0.1
177,Freddie Gillespie\gillefr01,PF,23,TOR,13,205,15.7,.611,.000,.353,11.5,14.9,13.2,3.6,1.4,5.9,9.2,13.7,,0.4,0.2,0.6,.150,,-2.3,0.3,-2.0,0.0
178,Rudy Gobert\goberru01,C,28,UTA,63,1949,23.5,.685,.006,.657,11.9,33.0,22.9,6.0,0.8,7.3,13.5,16.8,,5.4,4.6,10.1,.248,,2.0,2.6,4.6,3.2
179,Brandon Goodwin\goodwbr01,PG,25,ATL,45,609,8.6,.464,.466,.187,1.5,10.7,6.1,21.7,1.2,0.0,13.2,19.5,,-0.3,0.3,0.0,.002,,-2.9,-1.1,-4.0,-0.3
180,Aaron Gordon\gordoaa01,PF,25,TOT,44,1236,15.1,.555,.365,.321,5.8,16.8,11.1,18.7,1.2,2.3,15.1,21.2,,0.7,1.1,1.9,.072,,0.5,-0.1,0.5,0.8
180,Aaron Gordon\gordoaa01,PF,25,ORL,25,736,15.0,.537,.382,.358,5.3,18.7,11.8,22.9,1.1,2.5,16.5,23.9,,0.0,0.7,0.6,.041,,0.6,0.0,0.6,0.5
180,Aaron Gordon\gordoaa01,PF,25,DEN,19,500,15.1,.592,.333,.250,6.4,14.0,10.2,12.6,1.3,1.9,12.2,17.2,,0.8,0.4,1.2,.117,,0.5,-0.2,0.3,0.3
181,Eric Gordon\gordoer01,SG,32,HOU,27,789,14.6,.577,.572,.311,1.0,7.0,3.9,14.8,0.8,1.5,10.9,25.3,,0.6,0.3,0.9,.054,,0.9,-1.5,-0.6,0.3
182,Devonte' Graham\grahade01,PG,25,CHO,51,1531,14.2,.544,.707,.227,1.3,8.5,4.9,26.4,1.5,0.4,10.6,21.5,,2.0,0.9,2.9,.092,,1.2,-1.1,0.1,0.8
183,Jerami Grant\grantje01,SF,26,DET,53,1805,17.0,.556,.352,.366,2.1,13.2,7.6,14.5,1.0,2.7,9.0,28.4,,1.7,1.5,3.3,.087,,2.1,-1.1,1.0,1.3
184,Danny Green\greenda02,SF,33,PHI,62,1749,12.0,.583,.789,.072,3.3,11.2,7.3,8.2,2.3,2.7,11.0,13.9,,1.4,2.8,4.2,.115,,0.1,1.3,1.4,1.5
185,Draymond Green\greendr01,PF,30,GSW,56,1734,12.5,.509,.340,.217,3.0,20.5,11.8,36.0,2.5,2.3,31.3,13.0,,0.6,2.8,3.4,.095,,-2.2,3.0,0.8,1.2
186,JaMychal Green\greenja01,PF,30,DEN,50,938,14.7,.609,.527,.150,9.0,20.6,14.9,5.8,1.3,2.0,11.9,18.0,,1.4,1.0,2.4,.124,,0.1,-1.6,-1.5,0.1
187,Javonte Green\greenja02,SG-PG,27,TOT,33,380,10.8,.586,.291,.405,6.4,10.9,8.7,4.5,2.6,1.0,15.4,12.5,,0.2,0.4,0.6,.081,,-2.5,0.8,-1.7,0.0
187,Javonte Green\greenja02,SG,27,BOS,25,345,11.9,.624,.310,.423,6.4,10.4,8.4,4.3,2.6,0.5,13.4,12.1,,0.4,0.3,0.8,.105,,-1.7,0.8,-0.9,0.1
187,Javonte Green\greenja02,PG,27,CHI,8,35,0.3,.225,.125,.250,6.5,15.8,11.2,6.8,2.8,5.0,31.1,15.9,,-0.2,0.1,-0.1,-0.159,,-9.9,0.2,-9.7,-0.1
188,Jeff Green\greenje02,C,34,BRK,61,1671,12.4,.605,.462,.300,2.1,13.4,8.0,8.2,1.0,1.3,8.0,15.2,,2.4,1.0,3.5,.099,,-0.4,-0.9,-1.4,0.3
189,Josh Green\greenjo02,SG,20,DAL,32,333,7.5,.470,.286,.214,7.0,12.7,9.9,7.1,1.5,0.8,17.3,12.3,,-0.1,0.3,0.1,.021,,-4.2,-0.3,-4.4,-0.2
190,Blake Griffin\griffbl01,PF,31,TOT,39,1018,12.3,.532,.508,.301,3.0,18.6,10.9,17.3,1.3,1.1,12.2,19.6,,0.5,0.9,1.5,.069,,-1.0,-0.3,-1.3,0.1
190,Blake Griffin\griffbl01,PF,31,DET,20,626,9.8,.491,.559,.279,1.2,17.4,9.2,18.4,1.1,0.3,11.4,19.6,,-0.1,0.5,0.4,.027,,-1.5,-1.1,-2.6,-0.1
190,Blake Griffin\griffbl01,PF,31,BRK,19,392,16.4,.598,.425,.336,5.9,20.3,13.5,15.4,1.7,2.5,13.5,19.7,,0.7,0.4,1.1,.136,,-0.2,0.8,0.6,0.3
191,Kyle Guy\guyky01,PG,23,SAC,25,176,10.9,.493,.529,.235,2.5,13.5,7.9,16.0,1.1,0.0,7.4,19.8,,0.1,0.0,0.1,.023,,-2.9,-2.3,-5.2,-0.1
192,Rui Hachimura\hachiru01,PF,22,WAS,51,1605,11.3,.548,.218,.279,2.9,15.6,9.3,6.5,1.2,0.3,9.1,17.9,,0.6,1.3,1.9,.057,,-2.0,-1.4,-3.4,-0.6
